initialization,duration_hours,window,start_forecast_hour,end_forecast_hour,valid_time,verification_month,threshold,display_label,threshold_kind,domain_count,excluded_land_count,common_mask_count,threshold_minimum_mm,threshold_maximum_mm,n_samples,n_events,n_forecast_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score
2026091912,6,f00_f06,0,6,2026-09-19T18:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,453,304,0.03401411623366872,214,239,90,12775,0.47240618101545256,0.29605263157894735,0.39410681399631675,0.019161940255087547,0.03347028288353467,0.4274939258277364
2026091912,6,f00_f06,0,6,2026-09-19T18:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,164,135,0.0123141612854783,58,106,77,13077,0.35365853658536583,0.5703703703703704,0.24066390041493776,0.009668759428533954,0.012283041553817332,0.21283670773473118
2026091912,6,f00_f06,0,6,2026-09-19T18:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,31,4,0.0023276768283526056,0,31,4,13283,0.0,1.0,0.0,0.0025042776754617526,0.0023384485926900454,-0.07091414508323446
2026091912,6,f00_f06,0,6,2026-09-19T18:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,2,0,0.0001501726986033939,0,2,0,13316,0.0,,0.0,0.00015295969816720556,0.00015133289244388733,-0.010749848873214729
2026091912,6,f00_f06,0,6,2026-09-19T18:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,17,1,0.0012780993910232314,0,17,1,13283,0.0,1.0,0.0,0.0012379613243371547,0.001276196370162185,0.0299601587333862
2026091912,6,f00_f06,0,6,2026-09-19T18:00:00,9,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,8,0,0.0006014585369521089,0,8,0,13293,0.0,,0.0,0.0006125740616780045,0.000601657178630701,-0.018144690091039806
2026091912,6,f06_f12,6,12,2026-09-20T00:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,525,350,0.0394203333833909,101,424,249,12544,0.19238095238095237,0.7114285714285714,0.13049095607235142,0.03721459971530402,0.03795139610517004,0.019414210423886025
2026091912,6,f06_f12,6,12,2026-09-20T00:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,228,63,0.017119687640786904,12,216,51,13039,0.05263157894736842,0.8095238095238095,0.043010752688172046,0.01680786734933535,0.016747858899438018,-0.003583052034152656
2026091912,6,f06_f12,6,12,2026-09-20T00:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,57,0,0.004279921910196726,0,57,0,13261,0.0,,0.0,0.004241765421191265,0.004242808890624511,0.0002459383536108639
2026091912,6,f06_f12,6,12,2026-09-20T00:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,4,0,0.0003003453972067878,0,4,0,13314,0.0,,0.0,0.0003044997145708735,0.0003015055910472812,-0.00993057380193929
2026091912,6,f06_f12,6,12,2026-09-20T00:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,17,0,0.0012780993910232314,0,17,0,13284,0.0,,0.0,0.0013115112801208066,0.0012759453439989076,-0.027874184649973044
2026091912,6,f06_f12,6,12,2026-09-20T00:00:00,9,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,8,0,0.0006014585369521089,0,8,0,13293,0.0,,0.0,0.0006105101014917274,0.0006016571786307011,-0.014714231252379584
2026091912,12,f00_f12,0,12,2026-09-20T00:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,460,257,0.0345397206787806,135,325,122,12736,0.29347826086956524,0.47470817120622566,0.23195876288659795,0.026467750434666183,0.033447044761663235,0.2086669951480039
2026091912,12,f00_f12,0,12,2026-09-20T00:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,131,17,0.009836311758522301,9,122,8,13179,0.06870229007633588,0.47058823529411764,0.06474820143884892,0.008649000503787554,0.009750004425722068,0.11292342791454435
2026091912,12,f00_f12,0,12,2026-09-20T00:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,12,0,0.0009010361916203634,0,12,0,13306,0.0,,0.0,0.0009181040738897745,0.0009076924356474515,-0.011470447294073205
2026091912,12,f00_f12,0,12,2026-09-20T00:00:00,9,3inch,3 inches,fixed,13318,0,13318,76.19999694824219,76.19999694824219,13318,4,0,0.0003003453972067878,0,4,0,13314,0.0,,0.0,0.00030102990073860097,0.0003016423065823351,0.0020302385652490873
2026091912,12,f00_f12,0,12,2026-09-20T00:00:00,9,2yr12h_ari,2-year 12-hour ARI,ari,12753,565,12753,12.478196144104004,130.89535522460938,12753,25,2,0.0019603230612404926,1,24,1,12727,0.04,0.5,0.038461538461538464,0.00189020168832752,0.0019610560758350575,0.03613072995751343
2026091912,12,f00_f12,0,12,2026-09-20T00:00:00,9,5yr12h_ari,5-year 12-hour ARI,ari,12753,565,12753,17.717864990234375,165.05723571777344,12753,9,0,0.0007057163020465773,0,9,0,12744,0.0,,0.0,0.0007195827579016839,0.0007062902590595838,-0.01882016447430379
2026091912,6,f12_f18,12,18,2026-09-20T06:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,674,484,0.05060819942934375,135,539,349,12295,0.20029673590504452,0.7210743801652892,0.13196480938416422,0.04423134196379474,0.0490693152641208,0.09859467722924509
2026091912,6,f12_f18,12,18,2026-09-20T06:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,330,72,0.024778495269559993,18,312,54,12934,0.05454545454545454,0.75,0.046875,0.023471498958376233,0.024445275199698087,0.03983494697306089
2026091912,6,f12_f18,12,18,2026-09-20T06:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,102,0,0.007658807628773089,0,102,0,13216,0.0,,0.0,0.0075700579326620195,0.007637739772695952,0.008861501183358822
2026091912,6,f12_f18,12,18,2026-09-20T06:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,12,0,0.0009010361916203634,0,12,0,13306,0.0,,0.0,0.0009021911872668725,0.0009016949741278592,-0.0005503115280123261
2026091912,6,f12_f18,12,18,2026-09-20T06:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,17,0,0.0012780993910232314,0,17,0,13284,0.0,,0.0,0.001281578856059936,0.0012774515006284775,-0.003230929259880444
2026091912,6,f12_f18,12,18,2026-09-20T06:00:00,9,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,8,0,0.0006014585369521089,0,8,0,13293,0.0,,0.0,0.0006029465789741037,0.0006016571786307011,-0.0021430814576786084
2026091912,12,f06_f18,6,18,2026-09-20T06:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,634,211,0.04760474545727587,55,579,156,12528,0.08675078864353312,0.7393364928909952,0.06962025316455696,0.04203248918616123,0.045831986742129315,0.08290056412665914
2026091912,12,f06_f18,6,18,2026-09-20T06:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,195,0,0.014641838113830906,0,195,0,13123,0.0,,0.0,0.014175876917025746,0.014472778272263575,0.020514468587335966
2026091912,12,f06_f18,6,18,2026-09-20T06:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,23,0,0.00172698603393903,0,23,0,13295,0.0,,0.0,0.001729141144285266,0.0017290215794908016,-6.915170746424337e-05
2026091912,12,f06_f18,6,18,2026-09-20T06:00:00,9,3inch,3 inches,fixed,13318,0,13318,76.19999694824219,76.19999694824219,13318,5,0,0.00037543174650848477,0,5,0,13313,0.0,,0.0,0.00037591124889700477,0.00037672865588403204,0.002169749962633305
2026091912,12,f06_f18,6,18,2026-09-20T06:00:00,9,2yr12h_ari,2-year 12-hour ARI,ari,12753,565,12753,12.478196144104004,130.89535522460938,12753,25,0,0.0019603230612404926,0,25,0,12728,0.0,,0.0,0.0019923582696346033,0.0019608367389805418,-0.016075550823496876
2026091912,12,f06_f18,6,18,2026-09-20T06:00:00,9,5yr12h_ari,5-year 12-hour ARI,ari,12753,565,12753,17.717864990234375,165.05723571777344,12753,9,0,0.0007057163020465773,0,9,0,12744,0.0,,0.0,0.0007149748874815232,0.0007062902590595838,-0.012296118076869478
2026091912,6,f18_f24,18,24,2026-09-20T12:00:00,9,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,728,696,0.05466286229163538,385,343,311,12279,0.5288461538461539,0.4468390804597701,0.37054860442733395,0.03370998782111419,0.05246562502730554,0.35748429941376003
2026091912,6,f18_f24,18,24,2026-09-20T12:00:00,9,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,382,136,0.028682985433248237,99,283,37,12899,0.2591623036649215,0.27205882352941174,0.23627684964200477,0.019897707069194182,0.028251238031871902,0.29568725282954345
2026091912,6,f18_f24,18,24,2026-09-20T12:00:00,9,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,136,0,0.010211743505030785,0,136,0,13182,0.0,,0.0,0.008945919793306426,0.010175633308718967,0.1208488433205297
2026091912,6,f18_f24,18,24,2026-09-20T12:00:00,9,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,12,0,0.0009010361916203634,0,12,0,13306,0.0,,0.0,0.0008971742758980873,0.0009016949741278592,0.005013555980107776
2026091912,6,f18_f24,18,24,2026-09-20T12:00:00,9,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,15,0,0.0011277347567852042,0,15,0,13286,0.0,,0.0,0.0011309593644894841,0.00112708686639045,-0.0034358470624682447
