initialization,duration_hours,window,start_forecast_hour,end_forecast_hour,valid_time,verification_month,threshold,display_label,threshold_kind,domain_count,excluded_land_count,common_mask_count,threshold_minimum_mm,threshold_maximum_mm,n_samples,n_events,n_forecast_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score
2026082612,6,f00_f06,0,6,2026-08-26T18:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,152,34,0.011413125093857937,12,140,22,13144,0.07894736842105263,0.6470588235294118,0.06896551724137931,0.009892483261635594,0.011450596902497747,0.13607270032554175
2026082612,6,f00_f06,0,6,2026-08-26T18:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,82,0,0.00615708064273915,0,82,0,13236,0.0,,0.0,0.005824081896498303,0.006135862171344344,0.05081278981495296
2026082612,6,f00_f06,0,6,2026-08-26T18:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,20,0,0.001501726986033939,0,20,0,13298,0.0,,0.0,0.0014809721284268018,0.001512246082556533,0.02068046628817244
2026082612,6,f00_f06,0,6,2026-08-26T18:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,0,0,0.0,0,0,0,13318,,,,6.675203685222451e-07,2.109913872019921e-06,0.6836267217470844
2026082612,6,f00_f06,0,6,2026-08-26T18:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,0,0,0.0,0,0,0,13301,,,,5.97582323054881e-08,1.7177263956769233e-06,0.9652108552002902
2026082612,6,f00_f06,0,6,2026-08-26T18:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,7.046936922073564e-09,5.866175441951142e-07,0.9879871698488961
2026082612,6,f06_f12,6,12,2026-08-27T00:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,465,202,0.03491515242528908,91,374,111,12742,0.1956989247311828,0.5495049504950495,0.1579861111111111,0.02829464958056436,0.03280184986640155,0.13740689333664224
2026082612,6,f06_f12,6,12,2026-08-27T00:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,240,21,0.018020723832407267,14,226,7,13071,0.058333333333333334,0.3333333333333333,0.05668016194331984,0.015633673062410727,0.017419226386036515,0.10250474298084278
2026082612,6,f06_f12,6,12,2026-08-27T00:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,89,0,0.006682685087851028,0,89,0,13229,0.0,,0.0,0.006220415671256296,0.0065938180441105845,0.05662915936659807
2026082612,6,f06_f12,6,12,2026-08-27T00:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,12,0,0.0009010361916203634,0,12,0,13306,0.0,,0.0,0.0008579195484065921,0.0008997441348780745,0.04648497817343378
2026082612,6,f06_f12,6,12,2026-08-27T00:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,2,0,0.00015036463423802722,0,2,0,13299,0.0,,0.0,0.00015001580777957688,0.00015208236063370413,0.013588379648476256
2026082612,6,f06_f12,6,12,2026-08-27T00:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,2.363621543868876e-07,5.866175441951142e-07,0.5970762267071381
2026082612,12,f00_f12,0,12,2026-08-27T00:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,343,44,0.025754617810482053,23,320,21,12954,0.06705539358600583,0.4772727272727273,0.06318681318681318,0.021649442717353876,0.024345146066785384,0.11072857571018302
2026082612,12,f00_f12,0,12,2026-08-27T00:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,114,0,0.008559843820393452,0,114,0,13204,0.0,,0.0,0.007979967258244174,0.008376423258237625,0.047329986531371215
2026082612,12,f00_f12,0,12,2026-08-27T00:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,12,0,0.0009010361916203634,0,12,0,13306,0.0,,0.0,0.000855604567736824,0.0009031641102606175,0.052658804732696685
2026082612,12,f00_f12,0,12,2026-08-27T00:00:00,8,3inch,3 inches,fixed,13318,0,13318,76.19999694824219,76.19999694824219,13318,2,0,0.0001501726986033939,0,2,0,13316,0.0,,0.0,0.00014546065713136954,0.0001513092976860784,0.038653543728971895
