initialization,duration_hours,window,start_forecast_hour,end_forecast_hour,valid_time,verification_month,threshold,display_label,threshold_kind,domain_count,excluded_land_count,common_mask_count,threshold_minimum_mm,threshold_maximum_mm,n_samples,n_events,n_forecast_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score
2026081012,6,f00_f06,0,6,2026-08-10T18:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,205,152,0.015392701606847876,61,144,91,13022,0.2975609756097561,0.5986842105263158,0.20608108108108109,0.012039204395567217,0.01516287574012255,0.20600784429630137
2026081012,6,f00_f06,0,6,2026-08-10T18:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,99,23,0.0074335485808679986,11,88,12,13207,0.1111111111111111,0.5217391304347826,0.0990990990990991,0.006603393212735932,0.007440760861189245,0.1125379062806593
2026081012,6,f00_f06,0,6,2026-08-10T18:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,20,0,0.001501726986033939,0,20,0,13298,0.0,,0.0,0.0015191210263995067,0.0015253679690344034,0.004095367650109427
2026081012,6,f00_f06,0,6,2026-08-10T18:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,1,0,7.508634930169695e-05,0,1,0,13317,0.0,,0.0,7.981110782937404e-05,7.695326527144605e-05,-0.03713737874341261
2026081012,6,f00_f06,0,6,2026-08-10T18:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,0,0,0.0,0,0,0,13301,,,,1.4298181699947386e-06,1.7177263956769233e-06,0.16761006083784702
2026081012,6,f00_f06,0,6,2026-08-10T18:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,2.0055006476437603e-07,5.866175441951142e-07,0.6581246729680637
2026081012,6,f06_f12,6,12,2026-08-11T00:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,423,142,0.03176152575461781,40,383,102,12793,0.09456264775413711,0.7183098591549296,0.0761904761904762,0.02835435318357354,0.029948568602902032,0.053231773460251874
2026081012,6,f06_f12,6,12,2026-08-11T00:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,156,37,0.011713470491064724,2,154,35,13127,0.01282051282051282,0.9459459459459459,0.010471204188481676,0.011536605219608023,0.011400654545668663,-0.01192481303549453
2026081012,6,f06_f12,6,12,2026-08-11T00:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,31,0,0.0023276768283526056,0,31,0,13287,0.0,,0.0,0.0024788492028889396,0.0023109801605201655,-0.0726397591968031
2026081012,6,f06_f12,6,12,2026-08-11T00:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,3,0,0.00022525904790509084,0,3,0,13315,0.0,,0.0,0.00023601030459570327,0.0002259109743634859,-0.04470491201533111
2026081012,6,f06_f12,6,12,2026-08-11T00:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,3,0,0.00022554695135704083,0,3,0,13298,0.0,,0.0,0.00024281880805941946,0.00022556151839102096,-0.07650812865376366
2026081012,6,f06_f12,6,12,2026-08-11T00:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,4.910309407234279e-06,5.866175441951142e-07,-7.370546458803263
2026081012,12,f00_f12,0,12,2026-08-11T00:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,289,103,0.02169995494819042,45,244,58,12971,0.15570934256055363,0.5631067961165048,0.12968299711815562,0.0181939473166649,0.02077228728401061,0.12412402794613653
