initialization,duration_hours,window,start_forecast_hour,end_forecast_hour,valid_time,verification_month,threshold,display_label,threshold_kind,domain_count,excluded_land_count,common_mask_count,threshold_minimum_mm,threshold_maximum_mm,n_samples,n_events,n_forecast_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score
2026080912,6,f00_f06,0,6,2026-08-09T18:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,199,108,0.014942183511037693,56,143,52,13067,0.2814070351758794,0.48148148148148145,0.22310756972111553,0.01105570337589072,0.014683197893382545,0.24705071360011244
2026080912,6,f00_f06,0,6,2026-08-09T18:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,88,38,0.006607598738549332,0,88,38,13192,0.0,1.0,0.0,0.006783980012702354,0.0065866232646197365,-0.029963266480220074
2026080912,6,f00_f06,0,6,2026-08-09T18:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,26,0,0.0019522450818441207,0,26,0,13292,0.0,,0.0,0.00206209710372706,0.001967381138265107,-0.04814317044102401
2026080912,6,f00_f06,0,6,2026-08-09T18:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,0,0,0.0,0,0,0,13318,,,,4.871581832573115e-06,2.109913872019921e-06,-1.3089008026234343
2026080912,6,f00_f06,0,6,2026-08-09T18:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,0,0,0.0,0,0,0,13301,,,,1.0065998666626948e-06,1.7177263956769233e-06,0.41399289828924535
2026080912,6,f00_f06,0,6,2026-08-09T18:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,7.517015750041127e-08,5.866175441951142e-07,0.8718583202219928
2026080912,6,f06_f12,6,12,2026-08-10T00:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,383,205,0.02875807178254993,75,308,130,12805,0.195822454308094,0.6341463414634146,0.14619883040935672,0.024213203979096376,0.02721605728039765,0.11033388379381748
2026080912,6,f06_f12,6,12,2026-08-10T00:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,212,11,0.015918306051959753,10,202,1,13105,0.04716981132075472,0.09090909090909091,0.046948356807511735,0.01414235693929628,0.015457261387996668,0.08506710313648946
2026080912,6,f06_f12,6,12,2026-08-10T00:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,60,0,0.004505180958101817,0,60,0,13258,0.0,,0.0,0.004383851934712287,0.004470016449924067,0.019276106962256012
2026080912,6,f06_f12,6,12,2026-08-10T00:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,4,0,0.0003003453972067878,0,4,0,13314,0.0,,0.0,0.000303293461105069,0.0003012403215849362,-0.00681561986566237
2026080912,6,f06_f12,6,12,2026-08-10T00:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,3,0,0.00022554695135704083,0,3,0,13298,0.0,,0.0,0.00022602547102200073,0.00022677806079723437,0.0033186180911324303
2026080912,6,f06_f12,6,12,2026-08-10T00:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,0,0,0.0,0,0,0,13301,,,,2.465611998103665e-07,5.866175441951142e-07,0.5796900344181353
2026080912,12,f00_f12,0,12,2026-08-10T00:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,311,54,0.02335185463282775,14,297,40,12967,0.04501607717041801,0.7407407407407407,0.039886039886039885,0.02083138780729038,0.022266142316139624,0.0644366001293929
2026080912,12,f00_f12,0,12,2026-08-10T00:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,92,0,0.00690794413575612,0,92,0,13226,0.0,,0.0,0.006864879910901013,0.006834327267275337,-0.004470468332994804
2026080912,12,f00_f12,0,12,2026-08-10T00:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,4,0,0.0003003453972067878,0,4,0,13314,0.0,,0.0,0.00031299645077417315,0.0003077212864573083,-0.017142669516288844
2026080912,12,f00_f12,0,12,2026-08-10T00:00:00,8,3inch,3 inches,fixed,13318,0,13318,76.19999694824219,76.19999694824219,13318,0,0,0.0,0,0,0,13318,,,,5.521639028264003e-07,1.5402891323176387e-06,0.6415193152758459
2026080912,12,f00_f12,0,12,2026-08-10T00:00:00,8,2yr12h_ari,2-year 12-hour ARI,ari,12753,565,12753,12.478196144104004,130.89535522460938,12753,0,0,0.0,0,0,0,12753,,,,1.4766530922804474e-06,3.6675311789090856e-06,0.5973713595750041
2026080912,12,f00_f12,0,12,2026-08-10T00:00:00,8,5yr12h_ari,5-year 12-hour ARI,ari,12753,565,12753,17.717864990234375,165.05723571777344,12753,0,0,0.0,0,0,0,12753,,,,1.5333468095988478e-07,1.1985701544907817e-06,0.8720686641617321
2026080912,6,f12_f18,12,18,2026-08-10T06:00:00,8,0p25inch,0.25 inch,fixed,13318,0,13318,6.349999904632568,6.349999904632568,13318,186,136,0.013966060970115633,22,164,114,13018,0.11827956989247312,0.8382352941176471,0.07333333333333333,0.014974811167986272,0.014088582045704066,-0.06290406794716707
2026080912,6,f12_f18,12,18,2026-08-10T06:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,77,55,0.0057816488962306655,0,77,55,13186,0.0,1.0,0.0,0.0068155769592250235,0.005870508469459673,-0.1609857978541227
2026080912,6,f12_f18,12,18,2026-08-10T06:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,19,5,0.001426640636732242,0,19,5,13294,0.0,1.0,0.0,0.0017469651441427462,0.001449795624190401,-0.20497338727883907
2026080912,6,f12_f18,12,18,2026-08-10T06:00:00,8,2inch,2 inches,fixed,13318,0,13318,50.79999923706055,50.79999923706055,13318,3,0,0.00022525904790509084,0,3,0,13315,0.0,,0.0,0.0002516491607542194,0.0002268829659725692,-0.1091584583068459
2026080912,6,f12_f18,12,18,2026-08-10T06:00:00,8,2yr6h_ari,2-year 6-hour ARI,ari,13301,17,13301,10.230066299438477,110.2435531616211,13301,2,0,0.00015036463423802722,0,2,0,13299,0.0,,0.0,0.00017806830999820587,0.00015183905215596243,-0.1727438196551827
2026080912,6,f12_f18,12,18,2026-08-10T06:00:00,8,5yr6h_ari,5-year 6-hour ARI,ari,13301,17,13301,14.209089279174805,138.58877563476562,13301,1,0,7.518231711901361e-05,0,1,0,13300,0.0,,0.0,8.281876947565879e-05,7.576893466320871e-05,-0.09304386875421233
2026080912,12,f06_f18,6,18,2026-08-10T06:00:00,8,0p5inch,0.5 inch,fixed,13318,0,13318,12.699999809265137,12.699999809265137,13318,299,93,0.022450818441207387,53,246,40,12979,0.17725752508361203,0.43010752688172044,0.15634218289085547,0.019160150599796723,0.021613981035764986,0.11352977648624152
2026080912,12,f06_f18,6,18,2026-08-10T06:00:00,8,1inch,1 inch,fixed,13318,0,13318,25.399999618530273,25.399999618530273,13318,92,17,0.00690794413575612,4,88,13,13213,0.043478260869565216,0.7647058823529411,0.0380952380952381,0.006541814393614899,0.0068573375996848485,0.04601249413248232
